NS 100
ROOT 7704
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1148
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3157
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 033
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6417
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 037
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4488
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3993
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4484
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6006
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7300
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8448
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9346
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9346
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1744
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3377
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3784
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8602
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6017
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 0444
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 7111
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1562
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2262
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9922
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9939
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 5588
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8228
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 040
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 4004
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 3993
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 2882
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 9340
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8822
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 8828
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 6600
UHF +1,+2,+4,+3
LHF +8,+5,+1,+0
PHF +1,+9,+4,+0
ROOT 1568
