NS 100
ROOT 9378
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5314
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 6124
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1758
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 6302
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7277
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5011
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4122
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2900
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7156
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1677
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8425
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9677
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7413
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 5934
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4201
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9499
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7233
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4203
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8265
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1970
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8524
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9635
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0500
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0566
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 9457
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 2722
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4180
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4122
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7233
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7536
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1891
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1978
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 6302
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8344
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 1677
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 3192
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0788
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 7534
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8487
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4122
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 4203
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 8566
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
PHF +3,+0,+4,+9
ROOT 0489
UHF +1,+8,+8,+0
LHF +6,+3,+6,+0
